title,address,latitude,longitude,classification,planning_area,pa_population,pa_income,subzone,subzone_population,subzone_income,makan index,region,region_type,population,size,density,24 hours?,property_type
McDonald's Metropolis,"9 North Buona Vista Drive #01-08 Tower 1 The Metropolis, Singapore 138588",1.3061511,103.7910856,Medium,Queenstown,96870,4.3695E-05,One North,760,0.009279778,6.25,Central,RCR,96970,20.43,4746.45,No,
McDonald's Alocassia,"383 Bukit Timah Rd, #01-09B Alocassia Apartments, Singapore 259727",1.3195389,103.827332,Low,Tanglin,23150,0.000122079,Nassim,10090,0.000704856,0,Central,CCR,23270,7.63,3049.8,No,Retail
McDonald's Farrer Road,"10 Jln Serene, #01-01 Serene Centre, Singapore 258748",1.3223957,103.8135353,Medium,Tanglin,23150,0.000122079,Tyersall,4090,0.001700133,0,Central,CCR,23270,7.63,3049.8,Yes,Retail
McDonald's Great World City,"1 Kim Seng Promenade #01-124/25/26 Great World City, 1 Kim Seng Promenade, #01 - 162, Singapore 237994",1.2933335,103.8325368,High,Singapore River,3580,0.000413143,Robertson Quay,3460,0.002023121,0,Central,RCR,3510,0.96,3656.25,No,
McDonald's Woodlands Mart,"Block 768 Woodlands Avenue 6 01-01 Woodlands Mart, Singapore 730768",1.4460315,103.7984815,Low,Woodlands,252510,1.96814E-05,Woodlands East,98580,4.51965E-05,6.53,North,OCR,252570,13.59,18584.99,Yes,
McDonald's Singapore Polytechnic,"500 Dover Road Teaching Block 16, 500 Dover Rd, Unit 13 Level 1 Singapore Polytechnic, Singapore 139651",1.3100904,103.7785341,Student,Queenstown,96870,4.3695E-05,Singapore Polytechnic,0,0,6.25,Central,RCR,96970,20.43,4746.45,No,
McDonald's Sun Plaza,"30 Sembawang Dr, #01 - 16 / 17 Sun Plaza, Singapore 757713",1.4482725,103.819938,Medium,Sembawang,108490,4.48404E-05,Sembawang Central,35300,0.000130191,6.7,North,OCR,108650,12.34,8804.7,Yes,
McDonald's ARC,"460 Alexandra Rd, #01 - 25, Singapore 119963",1.2745043,103.8015418,High,Queenstown,96870,4.3695E-05,Pasir Panjang 2,3040,0.002460613,6.25,Central,RCR,96970,20.43,4746.45,No,
McDonald's Woodlands Civic Centre,"900 South Woodlands Drive #01-01 Woodlands Civic Centre, Singapore 730900",1.435152,103.787195,Low,Woodlands,252510,1.96814E-05,Woodlands Regional Centre,0,0,6.53,North,OCR,252570,13.59,18584.99,No,
McDonald's Fajar,"Blk 445 Fajar Rd, #01-520, Singapore 670445",1.3838178,103.7704254,Medium,Bukit Panjang,137390,3.49293E-05,Fajar,27070,0.000159235,6.31,West,OCR,137730,8.99,15320.36,Yes,HDB
McDonald's West Coast Park,"71 W Coast Hwy, Singapore 126844",1.2975443,103.7633584,High,Queenstown,96870,4.3695E-05,Pandan,0,0,6.25,Central,RCR,96970,20.43,4746.45,Yes,
McDonald's Bukit Panjang Plaza,"1 Jelebu Road, #02-01, Bukit Panjang Plaza, Singapore 677743",1.3794957,103.7644471,Low,Bukit Panjang,137390,3.49293E-05,Jelebu,30640,0.000161928,6.31,West,OCR,137730,8.99,15320.36,No,
McDonald's Causeway Point,"1 Woodlands Square, #01 - 35 Causeway Point, Singapore 738099",1.4364427,103.7864043,Low,Woodlands,252510,1.96814E-05,Woodlands Regional Centre,0,0,6.53,North,OCR,252570,13.59,18584.99,Yes,
McDonald's Queensway Shopping Centre,"1 Queensway, #02-46, Queensway Shopping Centre, Singapore 149053",1.2872226,103.8033568,Low,Queenstown,96870,4.3695E-05,Queensway,280,0.025,6.25,Central,RCR,96970,20.43,4746.45,No,
McDonald's Beauty World,"144 Upper Bukit Timah Rd, #01-39/40 Beauty World Centre, Singapore 588177",1.3422905,103.7761285,Medium,Bukit Timah,79240,5.67871E-05,Anak Bukit,21770,0.000307554,5.33,Central,CCR,79940,17.53,4560.18,No,
