results,latitude,longitude
Medium,1.318956065,103.7865981
Medium,1.32042456,103.7886423
High,1.323596181,103.7741629
Medium,1.320937472,103.7888178
Medium,1.326287636,103.792584
Medium,1.31958963,103.7881067
Medium,1.327524514,103.7904484
Medium,1.329672906,103.7942487
Medium,1.324912949,103.7857208
Medium,1.328739903,103.7925457
Medium,1.323753178,103.7858729
Medium,1.32017657,103.7843743
Medium,1.322915004,103.8001917
Medium,1.323128771,103.8082281
Medium,1.329046362,103.8011462
Medium,1.328144704,103.8001158
Medium,1.324557679,103.797922
Medium,1.324383946,103.8057776
Medium,1.324226457,103.7943866
Medium,1.322554925,103.8087361
Medium,1.329046362,103.8011462
Medium,1.323282945,103.8020525
Medium,1.323001661,103.8051958
Medium,1.322911833,103.7997913
Medium,1.323742495,103.7972146
Medium,1.322903784,103.8080864
Medium,1.323495405,103.8060167
Medium,1.345530161,103.9592488
High,1.338688865,103.9551093
High,1.336894416,103.953354
Medium,1.345187498,103.9612252
High,1.336825219,103.9531996
High,1.337252784,103.9540089
High,1.342913482,103.9614831
High,1.340208008,103.9521834
High,1.337987346,103.9528918
High,1.339972937,103.9542504
High,1.338172867,103.9531148
High,1.33817277,103.9538485
High,1.337911997,103.9527179
Medium,1.346457108,103.9608708
High,1.335195139,103.8777321
Medium,1.332762329,103.8715523
Medium,1.33251897,103.8779598
Medium,1.331903124,103.8713572
Medium,1.330177031,103.8722514
Medium,1.330016513,103.8724932
Medium,1.330172244,103.8741779
High,1.332892741,103.8781783
Medium,1.332897053,103.8770098
Medium,1.331744771,103.8768006
High,1.330105122,103.8741933
Medium,1.330410583,103.8735287
Medium,1.331804957,103.8722615
Medium,1.332499513,103.8751066
High,1.347172865,103.8618798
High,1.344329271,103.8696474
High,1.346761653,103.8661049
High,1.345941507,103.8659811
High,1.345639485,103.8652498
High,1.34875526,103.8609081
High,1.347626116,103.866391
High,1.345848353,103.8689122
High,1.347316899,103.8659604
High,1.353641109,103.8619178
High,1.344969683,103.8663531
High,1.34578781,103.8607538
High,1.346342806,103.8664334
High,1.345950242,103.8672017
Low,1.361516749,103.8881692
Medium,1.353896193,103.8801899
Low,1.355793415,103.8863889
Medium,1.355539385,103.8804351
Medium,1.35586136,103.8827681
Medium,1.353333637,103.8814433
Low,1.356987088,103.8874805
Medium,1.356230841,103.8822253
Medium,1.362828142,103.8883782
Medium,1.352212415,103.8857098
Medium,1.353480875,103.8788284
Medium,1.352830711,103.8809262
Medium,1.360934361,103.8913591
Medium,1.30842219,103.8543543
Medium,1.309659116,103.8552011
Medium,1.308848638,103.8551937
Medium,1.305424447,103.8517311
Medium,1.305571414,103.8527402
Medium,1.309000867,103.8539693
Medium,1.305802617,103.8524212
Medium,1.303997827,103.8541848
Medium,1.304899315,103.8538608
Medium,1.305521818,103.8519869
Medium,1.307612671,103.8560916
Medium,1.304974689,103.8519536
Medium,1.305123321,103.8525082
Medium,1.337955843,103.6916745
Medium,1.340798411,103.693302
High,1.354174469,103.697831
Medium,1.351501641,103.6975443
Medium,1.352603596,103.7000156
Medium,1.336633231,103.6937447
Medium,1.352957407,103.7001221
Medium,1.352453974,103.7008178
Medium,1.343407114,103.6928674
Medium,1.352613033,103.6996433
Medium,1.33615351,103.6955012
Medium,1.34699539,103.6945287
Medium,1.352660341,103.70052
High,1.336893053,103.7852282
Medium,1.336211621,103.7899549
High,1.338929021,103.7808764
Medium,1.336772691,103.7908232
Medium,1.348511035,103.7910242
High,1.33863258,103.7801638
Medium,1.346916959,103.7881538
Medium,1.338203665,103.7864027
Medium,1.344213673,103.7882792
High,1.33985941,103.7826351
Medium,1.348385899,103.7890198
High,1.33949689,103.7855289
High,1.341037594,103.7822214
High,1.345002079,103.8845336
Medium,1.350797726,103.8839131
High,1.347582036,103.886013
High,1.347003715,103.8824257
Medium,1.349336988,103.8829632
High,1.347058483,103.8846335
High,1.345511916,103.8835527
High,1.347478044,103.8860636
Medium,1.350368325,103.8826864
High,1.346479318,103.8855063
Medium,1.348027587,103.8844644
High,1.338909835,103.8911832
High,1.337353808,103.893519
Medium,1.322737813,103.8421031
Medium,1.323466865,103.8510231
Medium,1.326132071,103.8580967
Medium,1.323765682,103.8433954
Medium,1.322804734,103.8419832
Medium,1.323876463,103.8532108
Medium,1.322612324,103.8429251
Medium,1.325329778,103.8524117
Medium,1.323782735,103.8501021
Medium,1.322704469,103.8519711
Medium,1.323726511,103.8428744
Medium,1.326977796,103.8445895
Medium,1.32495449,103.8503833
Medium,1.406165051,103.8216598
Medium,1.40398772,103.8209989
Medium,1.399722456,103.8254317
Medium,1.400277982,103.8234127
Medium,1.398502696,103.8209187
Medium,1.406778718,103.8234228
Medium,1.398565629,103.8253233
Medium,1.405388233,103.8223709
Medium,1.402909954,103.8205133
Medium,1.399030979,103.8181007
Medium,1.406450885,103.8223759
Medium,1.40542194,103.8213183
Medium,1.32843376,103.8185038
Medium,1.323981299,103.8224748
Medium,1.324999155,103.821574
Medium,1.328688395,103.8147862
Medium,1.327751719,103.8220938
Medium,1.329698384,103.8181061
Medium,1.324519235,103.8205633
Medium,1.324106347,103.8176915
Medium,1.327874898,103.8183692
Medium,1.324688443,103.8257442
Medium,1.325668325,103.8228038
High,1.314599353,103.7842213
High,1.316930568,103.7850395
High,1.31275837,103.7819564
High,1.313796931,103.7912238
Medium,1.319461853,103.7813365
High,1.314870503,103.7794493
High,1.313703983,103.7835575
High,1.312773115,103.7810939
Medium,1.31759013,103.7806764
High,1.314598621,103.7827338
Medium,1.318493869,103.7819305
Medium,1.349953275,103.846782
Medium,1.354217517,103.8469275
High,1.348878699,103.8427945
Medium,1.350230244,103.8444364
High,1.350466197,103.8434189
Medium,1.35392782,103.8428169
Medium,1.348433524,103.8443768
Medium,1.354081363,103.8433898
Medium,1.352488264,103.8440916
Medium,1.351547449,103.8444068
Medium,1.346032455,103.8743317
Medium,1.345207192,103.8736732
Medium,1.345529488,103.8739761
High,1.344735306,103.881744
Medium,1.350156589,103.8783097
High,1.345849883,103.8804138
Medium,1.347690432,103.8794768
Medium,1.344301806,103.8729815
Medium,1.345647768,103.8756387
Medium,1.348881181,103.8791651
High,1.314083429,103.8439849
High,1.320534744,103.8404129
High,1.321200785,103.8411308
High,1.320202811,103.8402551
High,1.312540036,103.8423211
High,1.317197179,103.8410223
High,1.315960108,103.8451317
Medium,1.318444177,103.8503207
High,1.312111558,103.8441412
High,1.319633743,103.8404071
Medium,1.361926386,103.9640907
Medium,1.363194452,103.9653462
Medium,1.36323835,103.9664959
Low,1.362828758,103.9642082
Medium,1.358342341,103.9644
Medium,1.361720014,103.965684
High,1.363079512,103.9696657
Low,1.36304734,103.9644262
Medium,1.35880965,103.962753
High,1.36980396,103.7535249
High,1.368022954,103.7518997
High,1.369160681,103.7518854
High,1.369189659,103.7524157
Low,1.376835105,103.7582224
High,1.370675243,103.7525633
Low,1.377887385,103.7581744
High,1.370695789,103.7529939
Low,1.374779327,103.7585293
High,1.315756706,103.8266741
High,1.318589401,103.8233337
High,1.317691725,103.8287695
Low,1.319232244,103.828062
High,1.315477517,103.8214459
High,1.315292551,103.8308304
Low,1.320418638,103.8222957
High,1.31707305,103.8262246
High,1.315756706,103.8266741
Medium,1.337297144,103.9066317
Medium,1.334599691,103.9120108
Medium,1.336679902,103.911539
Medium,1.332922016,103.9042895
Medium,1.334148702,103.9090056
Medium,1.329369523,103.9084686
Medium,1.338243118,103.9120315
Medium,1.328208521,103.9080124
High,1.337794193,103.9040769
High,1.339200713,103.8858839
High,1.3330051,103.8839509
Medium,1.331933468,103.8796386
High,1.339420951,103.8856399
High,1.338454674,103.8776767
Medium,1.333628892,103.8807864
Medium,1.333659897,103.8809849
Medium,1.33295172,103.87968
Medium,1.31373231,103.8497061
Medium,1.313188571,103.8533105
Medium,1.314388289,103.8477766
Medium,1.313583805,103.8502442
Medium,1.307018268,103.8486609
Medium,1.313352292,103.8496102
Medium,1.31677861,103.8536537
Medium,1.315297769,103.8534001
Medium,1.33184852,103.8821987
Medium,1.330362364,103.8841982
Medium,1.32968233,103.885408
Medium,1.329707525,103.8813267
Medium,1.326077602,103.8903913
Medium,1.329368066,103.8810779
Medium,1.330315844,103.8834023
Medium,1.329322546,103.8829388
Medium,1.302033249,103.8597528
Medium,1.300882592,103.8590946
Medium,1.302869397,103.8581763
Medium,1.300788288,103.8589737
Medium,1.303136614,103.8603971
Medium,1.30147898,103.8591882
Medium,1.301046303,103.8589646
Medium,1.301695596,103.8585701
High,1.324694013,103.8394644
High,1.322886682,103.8374325
High,1.3254009,103.8392435
Medium,1.326147427,103.8403547
High,1.320204026,103.8326427
High,1.321802433,103.8350211
High,1.324538769,103.8392837
High,1.321891045,103.8360757
Medium,1.389100755,103.8556631
Medium,1.389872842,103.8555386
Medium,1.387999375,103.8553885
Medium,1.387719375,103.8552409
Medium,1.388799122,103.8520353
Medium,1.390515619,103.8549854
Medium,1.389824042,103.8542731
Medium,1.390509552,103.854489
Medium,1.325147986,103.8634787
Medium,1.327314489,103.8664751
Medium,1.324544026,103.8656997
Medium,1.327515192,103.8628256
Medium,1.326962238,103.8632122
Medium,1.319217089,103.8630215
Medium,1.324418783,103.8658995
Medium,1.32048334,103.8582713
Medium,1.380499088,103.9440618
Medium,1.380786576,103.9375601
Medium,1.380804459,103.9382387
Medium,1.378025793,103.941079
Medium,1.378508775,103.9440766
Medium,1.378848697,103.9453539
Medium,1.37877593,103.9433803
Medium,1.381581743,103.9365873
Medium,1.359086171,103.948911
Medium,1.359975852,103.9411845
Medium,1.359155794,103.9451405
Medium,1.359013181,103.9551111
Medium,1.357266351,103.9396652
Medium,1.357598498,103.9590342
Medium,1.356424507,103.9586093
Medium,1.355427534,103.9514472
High,1.358182351,103.7584352
High,1.358676968,103.7615005
High,1.35848218,103.7613055
High,1.359866854,103.7605591
Medium,1.354044118,103.7590852
High,1.357525958,103.7583301
High,1.359880919,103.7616707
High,1.358576267,103.7605375
Medium,1.398064757,103.8733556
Medium,1.395633253,103.8727682
Medium,1.396477305,103.8736134
Medium,1.390548171,103.8769085
Medium,1.392857345,103.8708752
High,1.400192176,103.8709928
High,1.400350894,103.8711466
High,1.287156341,103.8490275
High,1.285893691,103.8496404
High,1.28725802,103.849231
Medium,1.287127857,103.8470257
High,1.288202085,103.8491959
Medium,1.287214613,103.8468543
High,1.287866034,103.849005
Medium,1.279318158,103.7865285
Medium,1.280832565,103.7877764
Medium,1.276118115,103.7931835
Medium,1.276564912,103.7921259
Medium,1.280457959,103.7876774
Medium,1.278101725,103.7898211
Medium,1.280428212,103.789754
High,1.363925467,103.7688438
High,1.367093297,103.7687311
High,1.367545561,103.7697332
High,1.369952107,103.7724706
Medium,1.371590091,103.7735778
High,1.36740825,103.769385
Medium,1.371398345,103.7692183
Medium,1.39128491,103.7512347
Medium,1.392290894,103.7410706
Medium,1.390501787,103.7511902
Medium,1.391136271,103.7498329
Medium,1.391646639,103.7521995
Medium,1.390282471,103.7521728
Medium,1.395509378,103.7447329
High,1.296763827,103.8254111
