Title,Address,Latitude,Longitude,Classification,Planning Area,Region,Region Type,Property Type,AltClass,NUM_STOPS,num_hdb,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_IN_VOLUME
McDonald's Great World City,"1 Kim Seng Promenade #01-124/25/26 Great World City, 1 Kim Seng Promenade, #01 - 162, Singapore 237994",1.2933335,103.8325368,High,Singapore River,Central,RCR,,higher,15,5,536.0,344.0
McDonald's Woodlands Mart,"Block 768 Woodlands Avenue 6 01-01 Woodlands Mart, Singapore 730768",1.4460315,103.7984815,Low,Woodlands,North,OCR,,lower,14,107,188.0,119.0
McDonald's Sun Plaza,"30 Sembawang Dr, #01 - 16 / 17 Sun Plaza, Singapore 757713",1.4482725,103.819938,Medium,Sembawang,North,OCR,,higher,26,116,1296.0,1693.0
McDonald's ARC,"460 Alexandra Rd, #01 - 25, Singapore 119963",1.2745043,103.8015418,High,Queenstown,Central,RCR,,higher,9,0,795.0,2300.0
McDonald's Woodlands Civic Centre,"900 South Woodlands Drive #01-01 Woodlands Civic Centre, Singapore 730900",1.435152,103.787195,Low,Woodlands,North,OCR,,lower,14,58,448.0,435.0
McDonald's Fajar,"Blk 445 Fajar Rd, #01-520, Singapore 670445",1.3838178,103.7704254,Medium,Bukit Panjang,West,OCR,HDB,higher,19,101,4.0,1.0
McDonald's West Coast Park,"71 W Coast Hwy, Singapore 126844",1.2975443,103.7633584,High,Queenstown,Central,RCR,,higher,11,0,632.0,309.0
McDonald's Bukit Panjang Plaza,"1 Jelebu Road, #02-01, Bukit Panjang Plaza, Singapore 677743",1.3794957,103.7644471,Low,Bukit Panjang,West,OCR,,lower,25,87,4814.0,3801.0
McDonald's Causeway Point,"1 Woodlands Square, #01 - 35 Causeway Point, Singapore 738099",1.4364427,103.7864043,Low,Woodlands,North,OCR,,lower,16,55,124.0,23.0
McDonald's Queensway Shopping Centre,"1 Queensway, #02-46, Queensway Shopping Centre, Singapore 149053",1.2872226,103.8033568,Low,Queenstown,Central,RCR,,lower,10,28,656.0,312.0
McDonald's Beauty World,"144 Upper Bukit Timah Rd, #01-39/40 Beauty World Centre, Singapore 588177",1.3422905,103.7761285,Medium,Bukit Timah,Central,CCR,,higher,11,9,1061.0,543.0
McDonald's Choa Chu Kang CC,"35 Teck Whye Ave, #01-01 Chua Chu Kang Community Club, Singapore 688892",1.3811344,103.751914,Low,Choa Chu Kang,West,OCR,State,lower,15,87,1054.0,839.0
McDonald's Clementi Ave 3,"Blk 451 Clementi Ave 3, #01-309, Singapore 120451",1.3124073,103.7656754,Medium,Clementi,West,OCR,HDB,higher,18,75,323.0,280.0
McDonald's SAFRA Yishun,"60 Yishun Ave 4, #01-11 Safra, Yishun 769027",1.4232734,103.840973,High,Yishun,North,OCR,,higher,19,83,2988.0,2732.0
McDonald's Clementi Mall,"3155 Commonwealth Avenue West #01-06/07/08/09 The Clementi Mall, Singapore 129588",1.314918,103.7643089,Medium,Clementi,West,OCR,Retail,higher,17,71,439.0,630.0
McDonald's Greenridge Shopping Centre,"Blk 524A Jelapang Road #01-02A Greenridge Shopping Centre, Singapore 671524",1.3853755,103.7663006,Medium,Bukit Panjang,West,OCR,HDB,higher,19,121,1508.0,2238.0
McDonald's Choa Chu Kang 62,"Blk 623 Choa Chu Kang Street 62, #01-262, Singapore 680623",1.3981564,103.7471165,Low,Choa Chu Kang,West,OCR,HDB,lower,10,110,974.0,817.0
McDonald's Jurong East 24,"256 Jurong East St 24, #01-381, Singapore 600256",1.3441045,103.7382863,Low,Jurong East,West,OCR,,lower,16,64,897.0,809.0
McDonald's Bukit Batok West,"Blk 152 Bukit Batok Street 11, #01-280, Singapore 650152",1.3478795,103.7443841,Low,Bukit Batok,West,OCR,HDB,lower,19,105,666.0,1110.0
McDonald's Regal,"3501 Jalan Bukit Merah, #01-01, Singapore 159460",1.2836726,103.8182785,Low,Bukit Merah,Central,RCR,,lower,16,49,79.0,39.0
McDonald's Vista Point,"548 Woodlands Drive 44, Singapore 730548",1.4306343,103.7934851,Low,Woodlands,North,OCR,,lower,20,107,1139.0,1652.0
McDonald's TradeHub 21,"28 Boon Lay Way, #01-173 Tradehub 21, Singapore 609971",1.3281888,103.7516581,High,Clementi,West,OCR,,higher,6,0,54.0,572.0
McDonald's Bukit Batok,"Blk 632 Bukit Batok Central 01-138/#01-140 / #01-142, Singapore 650632",1.3495284,103.7504166,Medium,Bukit Batok,West,OCR,HDB,higher,15,84,5.0,12.0
McDonald's JEM,"50 Jurong Gateway Rd, #01-63, #02-55, Singapore 608549",1.3333971,103.7427873,Medium,Jurong East,West,OCR,Retail,higher,16,14,1163.0,1054.0
McDonald's Jurong Point,"1 Jurong West Central 2, #01-31 Jurong Point, Singapore 648886",1.3398558,103.7064063,Medium,Jurong West,West,OCR,Retail,higher,15,73,70.0,99.0
McDonald's Hillion,"17 Petir Rd, #B1-25/26/27 Hillion Mall, Singapore 678278",1.3784819,103.7632117,Medium,Bukit Panjang,West,OCR,Retail,higher,24,65,8477.0,5545.0
McDonald's Keat Hong,"818 Choa Chu Kang Ave 1, #01-02 Keat Hong Mirage, Singapore 680818",1.3780819,103.7488391,Medium,Choa Chu Kang,West,OCR,,higher,19,93,465.0,959.0
McDonald's Bukit Gombak,"374 Bukit Batok Street 31, #01-198/202, Singapore 650374",1.3575525,103.750601,Medium,Bukit Batok,West,OCR,,higher,12,65,1416.0,409.0
McDonald's Jcube,"2 Jurong East Central 1, #01-09 JCube, Singapore 609731",1.3330425,103.7401835,Medium,Jurong East,West,OCR,Retail,higher,17,13,925.0,497.0
