blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,address,latitude,longitude,polygon
10A,JLN KUKOH,1,1999,N,N,N,N,N,Y,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,10A JLN KUKOH,1.28683793317038,103.838674084243,PEARL'S HILL
10A,LOR 7 TOA PAYOH,5,1997,N,N,N,N,Y,N,TP,0,0,0,0,0,0,0,0,0,0,0,0,0,10A LOR 7 TOA PAYOH,1.33717164294913,103.857793534302,PEI CHUN
10B,BENDEMEER RD,40,2016,Y,N,N,N,N,N,KWN,184,0,0,70,114,0,0,0,0,0,0,0,0,10B BENDEMEER RD,1.31547715332072,103.860312930116,BENDEMEER
10B,BEDOK STH AVE 2,20,1994,Y,N,N,N,N,N,BD,56,0,0,0,0,0,56,0,0,0,0,0,0,10B BEDOK STH AVE 2,1.32235386630343,103.936183263112,BEDOK SOUTH
10B,BOON TIONG RD,30,2014,Y,N,N,Y,N,N,BM,160,0,13,28,84,0,0,0,35,0,0,0,0,10B BOON TIONG RD,1.28633684743341,103.829204757258,TIONG BAHRU
10B,LOR 7 TOA PAYOH,25,1997,Y,N,N,N,N,N,TP,96,0,0,0,68,28,0,0,0,0,0,0,0,10B LOR 7 TOA PAYOH,1.33716136352623,103.858353639387,PEI CHUN
10C,BENDEMEER RD,40,2016,Y,N,N,N,N,N,KWN,220,0,0,71,149,0,0,0,0,0,0,0,0,10C BENDEMEER RD,1.31584236197018,103.860644539729,BENDEMEER
10C,BEDOK STH AVE 2,2,1994,Y,N,N,Y,N,N,BD,2,0,0,0,0,0,2,0,0,0,0,0,0,10C BEDOK STH AVE 2,1.32209389873887,103.936222129379,BEDOK SOUTH
10C,LOR 7 TOA PAYOH,1,1997,N,N,N,N,N,Y,TP,0,0,0,0,0,0,0,0,0,0,0,0,0,10C LOR 7 TOA PAYOH,1.33691012993385,103.858049346644,PEI CHUN
10D,BEDOK STH AVE 2,23,1994,Y,N,N,N,N,N,BD,84,0,0,0,0,0,84,0,0,0,0,0,0,10D BEDOK STH AVE 2,1.3217708591015,103.936326570445,BEDOK SOUTH
