,BusStopCode,RoadName,Description,Latitude,Longitude
38,01629,Beach Rd,Shaw Twrs,1.297085,103.856894
39,01631,Middle Rd,Aft Beach Rd,1.29693614589482,103.85580555528077
40,01639,Middle Rd,Bef Beach Rd,1.29738750001468,103.85557583297624
41,02029,Esplanade Dr,Aft Esplanade Stn Exit D,1.290106,103.85464
42,02049,Bras Basah Rd,Raffles Hotel,1.29452091230981,103.85402155505173
43,02051,Raffles Ave,The Float @ Marina Bay,1.2895030556082,103.85903388899317
44,02061,Raffles Ave,The Esplanade,1.2899638888957,103.85640388886262
45,02089,Raffles Blvd,Promenade Stn/Pan Pacific,1.29152694444975,103.8592061110504
46,02099,Raffles Blvd,Marina Ctr Ter,1.29147264805943,103.86148558380779
47,02101,Raffles Ave,AFT S'PORE FLYER,1.28938483786533,103.86183148116275
48,02111,Esplanade Dr,Esplanade Bridge,1.29095592348389,103.85453419435228
49,02119,Nicoll Highway,Opp War Memorial Pk,1.29184407356581,103.85534334305085
50,02141,Temasek Blvd,Suntec Twr Two,1.29576571603037,103.85933814632858
51,02149,Temasek Blvd,Suntec Twr Three,1.29560459817725,103.85955533029184
52,02151,Temasek Blvd,Suntec Convention Ctr,1.29317776320814,103.85784623004031
53,02159,Temasek Blvd,Opp Suntec Convention Ctr,1.29360811227161,103.85840672828635
54,02161,Temasek Ave,Promenade Stn,1.29268553508737,103.86093156188176
55,02169,Temasek Ave,Promenade Stn Exit B,1.29333836780589,103.86070849052753
56,02171,Temasek Ave,Opp The Ritz-Carlton,1.29070000003898,103.86092194446034
57,02181,Parliament Pl,Supreme Ct,1.28947444402148,103.85098166700017
58,03011,Fullerton Rd,Fullerton Sq,1.28561840945474,103.85342223246427
59,03019,Collyer Quay,OUE Bayfront,1.284245000013,103.85310805599599
60,03021,Cecil St,Prudential Twr,1.28255524603003,103.84998903789258
61,03031,Robinson Rd,Raffles Pl Stn Exit F,1.28207492207952,103.85086074925066
62,03041,Cross St,Telok Ayer Stn Exit A,1.28179509394707,103.84893207391676
63,03059,Raffles Quay,One Raffles Quay,1.281111,103.851461
64,03071,Robinson Rd,OPP SO SOFITEL S'PORE,1.27990609626764,103.84940030424481
65,03111,Robinson Rd,Aft Capital Twr,1.2778259536079,103.8481011719729
66,03129,Shenton Way,UIC Bldg,1.27807003532092,103.84956718123823
67,03151,Cecil St,Opp GB Bldg,1.27892124625262,103.84776234627124
68,03217,Shenton Way,Opp AXA Twr,1.27552218897645,103.8479443674916
69,03218,Shenton Way,Opp MAS Bldg,1.2740788888387,103.84687388890413
70,03222,Anson Rd,Hub Synergy Pt,1.27397836925637,103.84489562922414
71,03223,Anson Rd,Tanjong Pagar Stn Exit C,1.2757033952327,103.84632468221952
72,03239,Shenton Way,Shenton Way Ter,1.27464226961973,103.84756721372408
73,03241,Anson Rd,Mapletree Anson,1.27456,103.84537
74,03331,Marina Blvd,Bef Marina Gdns Dr,1.27663307202767,103.86076808024792
75,03339,Central Blvd,Aft Marina Gdns Dr,1.27498516412784,103.85950016250487
76,03341,Marina Gdns Dr,Bef Gdns by the Bay,1.27959780011944,103.8643376844082
77,03349,Marina Gdns Dr,Aft Gdns by the Bay,1.27965600609923,103.8647780795552
78,03361,Marina Gdns Dr,GARDENS BY THE BAY STN EXIT 2,1.279917,103.868895
79,03369,Marina Gdns Dr,GARDENS BY THE BAY STN EXIT 1,1.27960772061959,103.8698744774074
80,03371,Marina Gdns Dr,Gdns by the Bay,1.28066479303461,103.86626955523418
81,03381,Marina Blvd,The Sail,1.28162601329006,103.85306513725685
82,03391,Marina Blvd,Marina Bay Financial Ctr,1.28037660340352,103.85498006767988
83,03411,Marina Coastal Dr,Opp Marina Sth Pier Stn,1.27159299884076,103.86300900488229
84,03419,Marina Coastal Dr,Marina Sth Pier Stn,1.27127698470973,103.86297693157816
85,03421,Marina Coastal Dr,Marina Bay Cruise Ctr,1.26694090294712,103.85964778134667
86,03501,Bayfront Ave,Marina Bay Sands Theatre,1.28500467671367,103.8606110538643
87,03509,Bayfront Ave,Bayfront Stn Exit B/MBS,1.28314999997332,103.86004388891767
88,03511,Bayfront Ave,Aft Bayfront Stn Exit E,1.28194779470571,103.85897064872482
89,03519,Bayfront Ave,Bayfront Stn Exit A,1.28124500000125,103.85884799997385
90,03529,Central Blvd,Downtown Stn,1.27939957419063,103.85278769921703
91,03539,Central Blvd,Marina Bay Stn,1.2775330547661,103.85561610012866
92,03549,Park Street,Shenton Way Stn Exit 3,1.277728,103.85045
93,03579,Straits view,Opp Downtown Stn,1.278832,103.852918
94,04019,Bencoolen St,OPP BENCOOLEN STN EXIT B,1.29807216909408,103.84975607305783
95,04029,Bencoolen St,BEF BENCOOLEN STN EXIT A,1.29948166696821,103.85092666701239
96,04111,Stamford Rd,Capitol Bldg,1.29395444170081,103.85139096636622
97,04121,Stamford Rd,SMU,1.29618544092334,103.84958029974611
98,04142,Hill St,Armenian Ch,1.2930982644668,103.84965994500728
99,04143,Hill St,Stamford Ct,1.29411640848293,103.85020606905503
100,04149,Hill St,Grand Pk City Hall,1.29276132399953,103.84983741344308
101,04151,Victoria St,Cath Of The Good Shepherd,1.29533777799211,103.85113972198121
102,04159,Victoria St,Aft Chijmes,1.29489484954945,103.85108138663934
103,04167,Nth Bridge Rd,City Hall Stn Exit B,1.29250006522444,103.85145315468638
104,04168,Nth Bridge Rd,Aft City Hall Stn Exit B,1.29208221483052,103.85125994680256
105,04179,Bras Basah Rd,AFT BRAS BASAH STN EXIT A,1.29647916306741,103.85147164487202
106,04211,River Valley Rd,Clarke Quay,1.29043611099357,103.84712444398055
107,04219,River Valley Rd,Opp Clarke Quay,1.29096802754795,103.84686777836987
108,04222,Eu Tong Sen St,Clarke Quay Stn Exit E,1.28898962180798,103.84708976365569
109,04223,Hill St,Old Hill St Police Stn,1.29084476137495,103.84857901022669
110,04229,Hill St,High St Ctr,1.29044830830726,103.84875123545265
111,04239,New Bridge Rd,Opp Clarke Quay Stn,1.28882717929599,103.8474938118651
112,04249,Nth Bridge Rd,Opp The Treasury,1.29043039362749,103.85026216508201
113,04251,Nth Boat Quay,Opp High St Ctr,1.28973833297563,103.84888472198024
114,04311,Clemenceau Ave,Aft River Valley Rd,1.29464575337351,103.8439214229312
115,04321,Clemenceau Ave,UE Sq,1.2921400077773,103.84303646191061
116,04329,Clemenceau Ave,Opp UE Sq,1.29197057108024,103.84328384973516
117,04331,River Valley Rd,BEF FORT CANNING STN,1.29183939431601,103.84504089382705
118,04339,River Valley Rd,FORT CANNING STN EXIT B,1.29221099996741,103.84500500002959
119,05012,Eu Tong Sen St,Bef Pearl'S Hill Terr,1.28154583300728,103.84087722199499
120,05013,Eu Tong Sen St,Chinatown Stn Exit C,1.28406979945936,103.84299874303983
121,05019,New Bridge Rd,Aft Duxton Plain Pk,1.28118388885484,103.84105000000471
122,05022,Eu Tong Sen St,Aft Chinatown Stn Exit D,1.28571089865595,103.84437203405348
123,05023,Eu Tong Sen St,Opp Hong Lim Pk,1.28692928357498,103.84540375642477
124,05029,Sth Bridge Rd,Boat Quay,1.28712283362119,103.84819780822524
125,05039,New Bridge Rd,New Bridge Ctr,1.28293819129834,103.84254276754574
126,05049,New Bridge Rd,Chinatown Stn Exit E,1.28531114761754,103.84455070696784
127,05059,New Bridge Rd,Hong Lim Pk,1.28676420118491,103.84575036447065
128,05069,New Bridge Rd,OUTRAM PK STN EXIT 4,1.28027629959632,103.84029791443083
129,05129,Upp Pickering St,Opp One Upp Pickering,1.28601166699569,103.84634666701143
130,05131,Upp Cross St,Opp Hong Lim Cplx,1.284073056,103.8453381
131,05189,Sth Bridge Rd,Opp Sri Mariamman Tp,1.2820913960391,103.84528061446953
132,05199,Sth Bridge Rd,Opp Hong Lim Cplx,1.28451455846092,103.84666049314171
133,05239,Neil Rd,Bef The Pinnacle@Duxton,1.27854113014976,103.8415105424013
134,05241,Kreta Ayer Rd,Opp Blk 333,1.28071988238536,103.84227488654868
135,05259,Neil Rd,OPP MAXWELL STN EXIT 3,1.27979447837032,103.84262707605177
136,05269,Sth Bridge Rd,MAXWELL STN EXIT 2,1.280894,103.844567
137,05271,Tg Pagar Rd,Opp Fairfield Meth Ch,1.27975329525167,103.84382212419122
138,05319,Church St,OCBC Ctr,1.284437,103.849114
139,05411,Tg Pagar Rd,Tg Pagar Plaza,1.27519165673078,103.84309190393883
140,05419,Tg Pagar Rd,The Amara,1.27470669455555,103.84318683838887
141,05421,Tg Pagar Rd,Aft Craig Rd,1.27777470568529,103.84346347289251
142,05429,Tg Pagar Rd,Bef Craig Rd,1.27769413050075,103.84370654372525
143,05431,Hoe Chiang Rd,TOWER 15,1.27408,103.8420461
144,05519,Cantonment Rd,Blk 1G,1.27553472200739,103.84112694400494
145,05521,Cantonment Rd,Maritime Hse,1.27676861098316,103.84059222200347
146,05629,Cantonment Rd,Opp Southpoint,1.273211389,103.84187
147,05631,Cantonment Link,Blk 16,1.27346055934188,103.84034718190608
148,05641,Keppel Rd,Bef Cantonment Rd,1.27272393115133,103.84140618785226
149,05649,Keppel Rd,Opp Customs Port Br HQ,1.2723842122117,103.84093912218094
150,05651,Tg Pagar Rd,Opp Fuji Xerox Twrs,1.273218611,103.8430731
151,06011,Outram Rd,OUTRAM PK STN EXIT 7,1.28165999996967,103.83801388886192
152,06029,Outram Rd,OUTRAM PK STN EXIT 1,1.28177041153491,103.8383828488293
153,06031,Chin Swee Rd,Opp Blk 13,1.28607055552165,103.83879166662209
154,06039,Chin Swee Rd,Blk 8,1.28705997883119,103.83962555611693
155,06049,Outram Rd,BEF OUTRAM FLYOVER,1.28474856880259,103.83517705055233
156,06051,Tiong Bahru Rd,Blk 55,1.28475980959972,103.83405671725487
157,06069,Outram Rd,Aft Furama RiverFront,1.28623157720487,103.83496162445665
158,06071,Zion Rd,HAVELOCK STN EXIT 2,1.28685859481289,103.83360028266564
159,06081,Zion Rd,HAVELOCK STN EXIT 3,1.28837086415387,103.83349881780524
